aspect,adjective,aspect_adj,predictions_overall,predictions_absa_pre
pork belly,awesome,awesome pork belly,Neutral,Positive
quality,awesome,awesome quality,Positive,Positive
experience,awesome,awesome experience,Positive,Positive
john,awesome,awesome john,Positive,Positive
place,awesome,awesome place,Positive,Positive
steak house,awesome,awesome steak house,Positive,Positive
whopper,awesome,awesome whopper,Positive,Positive
tomato,awesome,awesome tomato,Positive,Positive
you,aware,aware you,Neutral,Neutral
morel mushrooms buyer,aware,aware morel mushrooms buyer,Negative,Neutral
coffee,average,average coffee,Positive,Negative
joe,average,average joe,Positive,Neutral
price,average,average price,Neutral,Positive
food,average,average food,Positive,Negative
asparagus,average,average asparagus,Neutral,Negative
rockefeller treatment,average,average rockefeller treatment,Positive,Negative
fair,average,average fair,Neutral,Negative
food,average,average food,Neutral,Negative
food,average,average food,Neutral,Negative
serve soda,available,available serve soda,Negative,Positive
pancake option,available,available pancake option,Neutral,Positive
sandwich,available,available sandwich,Positive,Positive
option,available,available option,Positive,Positive
seating,available,available seating,Positive,Positive
point,available,available point,Negative,Positive
menu item,available,available menu item,Positive,Positive
table,available,available table,Positive,Neutral
i,available,available i,Neutral,Positive
cuisine 😋,authentic,authentic cuisine 😋,Negative,Positive
restaurant,authentic,authentic restaurant,Negative,Positive
she,attentive,attentive she,Positive,Positive
employee,attentive,attentive employee,Positive,Positive
he,attentive,attentive he,Positive,Positive
counter staff,attentive,attentive counter staff,Positive,Positive
baristas,attentive,attentive baristas,Positive,Positive
staff,attentive,attentive staff,Positive,Positive
staff,attentive,attentive staff,Negative,Positive
she,attentive,attentive she,Positive,Positive
staff,attentive,attentive staff,Positive,Positive
server,attentive,attentive server,Positive,Positive
bailey,attentive,attentive bailey,Positive,Positive
ward,attentive,attentive ward,Positive,Positive
waiter,attentive,attentive waiter,Positive,Positive
waiter michael,attentive,attentive waiter michael,Positive,Positive
staff,attentive,attentive staff,Positive,Positive
all,attentive,attentive all,Positive,Positive
seating,atmospheric,atmospheric seating,Positive,Neutral
manger,assistant,assistant manger,Negative,Neutral
coffee shop,artisan,artisan coffee shop,Neutral,Positive
i,arrogant,arrogant i,Negative,Negative
he,arrogant,arrogant he,Negative,Negative
staff,arrogant,arrogant staff,Negative,Negative
security present,armed,armed security present,Neutral,Neutral
staff,argumentative,argumentative staff,Negative,Negative
staff member,approachable,approachable staff member,Positive,Neutral
room,appointed,appointed room,Positive,Neutral
it,apparent,apparent it,Neutral,Neutral
it,apparent,apparent it,Negative,Neutral
it,apparent,apparent it,Positive,Neutral
one,apologetic,apologetic one,Negative,Neutral
attitude,apathetic,apathetic attitude,Negative,Positive
period,anywhere,anywhere period,Negative,Neutral
chill place,anyways,anyways chill place,Positive,Neutral
service kiosk,annoying,annoying service kiosk,Negative,Positive
it,annoying,annoying it,Negative,Neutral
we,annoyed,annoyed we,Negative,Neutral
i,angry,angry i,Negative,Neutral
power,ample,ample power,Neutral,Positive
outdoor seating,ample,ample outdoor seating,Positive,Positive
experience,amazing,amazing experience,Positive,Positive
service,amazing,amazing service,Positive,Positive
customer service,amazing,amazing customer service,Positive,Positive
coffee,amazing,amazing coffee,Neutral,Positive
atmosphere,amazing,amazing atmosphere,Positive,Positive
coffee,amazing,amazing coffee,Positive,Positive
drink,amazing,amazing drink,Positive,Positive
coffee,amazing,amazing coffee,Positive,Positive
staff,amazing,amazing staff,Positive,Positive
coffee,amazing,amazing coffee,Positive,Positive
they,amazing,amazing they,Positive,Positive
patio,amazing,amazing patio,Positive,Positive
latte,amazing,amazing latte,Positive,Positive
patio,amazing,amazing patio,Positive,Positive
service,amazing,amazing service,Positive,Positive
blueberry scone,amazing,amazing blueberry scone,Positive,Positive
location,amazing,amazing location,Positive,Positive
espresso roast,amazing,amazing espresso roast,Positive,Positive
ice cream,amazing,amazing ice cream,Negative,Positive
cotton candy,amazing,amazing cotton candy,Neutral,Positive
cream,amazing,amazing cream,Positive,Positive
cook,amazing,amazing cook,Positive,Positive
staff,amazing,amazing staff,Positive,Positive
christina,amazing,amazing christina,Positive,Positive
staff,amazing,amazing staff,Positive,Positive
woman,amazing,amazing woman,Positive,Positive
steak,amazing,amazing steak,Positive,Positive
breakfast deal,amazing,amazing breakfast deal,Positive,Positive
day bartender,amazing,amazing day bartender,Positive,Positive
angela,amazing,amazing angela,Positive,Positive
wing,amazing,amazing wing,Positive,Positive
woman,amazing,amazing woman,Positive,Positive
i,amazing,amazing i,Positive,Positive
"bartender""lisa",amazing,"amazing bartender""lisa",Positive,Positive
crab cake,amazing,amazing crab cake,Neutral,Positive
time,amazing,amazing time,Positive,Positive
creme brulee,amazing,amazing creme brulee,Positive,Positive
cut,amazing,amazing cut,Positive,Positive
flavor,amazing,amazing flavor,Positive,Positive
service,amazing,amazing service,Positive,Positive
jorge,amazing,amazing jorge,Positive,Positive
food,amazing,amazing food,Positive,Positive
food,amazing,amazing food,Positive,Positive
waiter,amazing,amazing waiter,Positive,Positive
meal,amazing,amazing meal,Positive,Positive
server,amazing,amazing server,Positive,Positive
it,amazing,amazing it,Positive,Positive
carina,amazing,amazing carina,Positive,Positive
steak,amazing,amazing steak,Positive,Positive
it,amazing,amazing it,Positive,Positive
server,amazing,amazing server,Positive,Positive
food,amazing,amazing food,Positive,Positive
food,amazing,amazing food,Positive,Positive
staff,amazing,amazing staff,Positive,Positive
cut,amazing,amazing cut,Positive,Positive
dessert,amazing,amazing dessert,Positive,Positive
steak,amazing,amazing steak,Positive,Positive
food,amazing,amazing food,Positive,Positive
💥,amazing,amazing 💥,Positive,Positive
experience,amazing,amazing experience,Positive,Positive
hour,amateur,amateur hour,Negative,Neutral
plan,alternative,alternative plan,Positive,Neutral
she,alone,alone she,Neutral,Neutral
she,allergic,allergic she,Negative,Neutral
klondike,alaskan,alaskan klondike,Positive,Neutral
klondike,alaskan,alaskan klondike,Positive,Neutral
they,alaskan,alaskan they,Positive,Neutral
fashioneds,aj,aj fashioneds,Positive,Neutral
bartender,aj,aj bartender,Positive,Neutral
she,aggressive,aggressive she,Negative,Neutral
she,aggressive,aggressive she,Negative,Neutral
porterhouse,aged,aged porterhouse,Positive,Neutral
flavor,aged,aged flavor,Positive,Positive
steak,aged,aged steak,Positive,Neutral
price,affordable,affordable price,Positive,Positive
oz,advertised,advertised oz,Negative,Neutral
rat,adjacent,adjacent rat,Negative,Negative
experience,adequate,adequate experience,Neutral,Negative
i,adequate,adequate i,Positive,Negative
food option,additional,additional food option,Positive,Positive
rude,acting,acting rude,Negative,Negative
it,acidic,acidic it,Negative,Neutral
i,achievable,achievable i,Positive,Neutral
this,achievable,achievable this,Positive,Neutral
employee,accommodating,accommodating employee,Positive,Positive
waiter,accommodating,accommodating waiter,Positive,Positive
chadwick,accommodating,accommodating chadwick,Positive,Positive
price,acceptable,acceptable price,Positive,Positive
this,acceptable,acceptable this,Negative,Neutral
this,acceptable,acceptable this,Negative,Neutral
wear,acceptable,acceptable wear,Positive,Neutral
quality,acceptable,acceptable quality,Positive,Positive
experience,abysmal,abysmal experience,Negative,Negative
amount,absurd,absurd amount,Neutral,Neutral
place,absolute,absolute place,Positive,Neutral
joke,absolute,absolute joke,Negative,Negative
mockery,absolute,absolute mockery,Negative,Neutral
dunkin,absolute,absolute dunkin,Negative,Neutral
time,absolute,absolute time,Positive,Neutral
place,absolute,absolute place,Positive,Neutral
steakhouse,absolute,absolute steakhouse,Positive,Neutral
favorite,absolute,absolute favorite,Positive,Positive
he,able,able he,Negative,Neutral
i,able,able i,Positive,Neutral
we,able,able we,Positive,Neutral
birthday,80th,80th birthday,Positive,Neutral
drink,6th,6th drink,Negative,Neutral
quarter,4th,4th quarter,Negative,Neutral
date,2nd,2nd date,Positive,Neutral
one,2nd,2nd one,Negative,Neutral
wedding anniversary,22nd,22nd wedding anniversary,Positive,Neutral
date,1st,1st date,Positive,Neutral
time,1st,1st time,Positive,Neutral
time,1000th,1000th time,Negative,Neutral
service,👌,👌 service,Positive,Positive
♥ ️,️,️ ♥ ️,Positive,Neutral
♥ ️,️,️ ♥ ️,Positive,Neutral
♥ ️,️,️ ♥ ️,Positive,Neutral
♥ ️,️,️ ♥ ️,Positive,Neutral
business,owned,owned business,Positive,Neutral
anything,good,good anything,Positive,Positive
package,boxed,boxed package,Positive,Neutral
success,huge,huge success,Positive,Positive
place,new,new place,Positive,Neutral
place,open,open place,Positive,Neutral
location,great,great location,Positive,Positive
location,perfect,perfect location,Positive,Positive
brew,fresh,fresh brew,Positive,Positive
lounge,comfortable,comfortable lounge,Positive,Positive
interior,bright,bright interior,Positive,Positive
interior,spacious,spacious interior,Positive,Positive
window,large,large window,Positive,Positive
seating,outdoor,outdoor seating,Positive,Neutral
coffee,best,best coffee,Positive,Positive
variety,great,great variety,Positive,Positive
one,gluten,gluten one,Positive,Neutral
one,free,free one,Positive,Neutral
one,surprising,surprising one,Positive,Neutral
vibe,good,good vibe,Positive,Positive
coffee,amazing,amazing coffee,Positive,Positive
location,first,first location,Positive,Neutral
coffee bean,fresh,fresh coffee bean,Positive,Positive
latte,lavender,lavender latte,Positive,Neutral
latte,best,best latte,Positive,Positive
latte,cold,cold latte,Positive,Neutral
it,delicious,delicious it,Positive,Positive
staff,nice,nice staff,Positive,Positive
space,pleasing,pleasing space,Positive,Positive
time,wonderful,wonderful time,Positive,Positive
pastry,great,great pastry,Positive,Positive
service,friendly,friendly service,Positive,Positive
coffee,incredible,incredible coffee,Positive,Positive
cortado,flawless,flawless cortado,Positive,Positive
i,excited,excited i,Positive,Positive
location,great,great location,Positive,Positive
cake,little,little cake,Positive,Neutral
cake,delicious,delicious cake,Positive,Positive
spot,great,great spot,Positive,Positive
favorite,soft,soft favorite,Positive,Positive
favorite,authentic,authentic favorite,Positive,Positive
coffee shop,nice,nice coffee shop,Positive,Positive
they,wonderful,wonderful they,Positive,Positive
drink,delicious,delicious drink,Positive,Positive
espresso velvety,easy,easy espresso velvety,Positive,Positive
espresso velvety,kind,kind espresso velvety,Positive,Positive
location,new,new location,Positive,Neutral
place,perfect,perfect place,Positive,Positive
seating,lovely,lovely seating,Positive,Positive
seating,outdoor,outdoor seating,Positive,Neutral
coffee,delicious,delicious coffee,Positive,Positive
pastry,few,few pastry,Positive,Neutral
coffee place,favorite,favorite coffee place,Positive,Positive
coffee,tastiest,tastiest coffee,Positive,Positive
atmosphere,perfect,perfect atmosphere,Positive,Positive
staff,warm,warm staff,Positive,Positive
staff,welcoming,welcoming staff,Positive,Positive
staff,nice,nice staff,Positive,Positive
vibe,great,great vibe,Positive,Positive
outlet,available,available outlet,Positive,Positive
outlet,great,great outlet,Positive,Positive
chai,great,great chai,Positive,Positive
music,live,live music,Positive,Neutral
coffee,great,great coffee,Positive,Positive
music event,live,live music event,Positive,Neutral
atmosphere,great,great atmosphere,Positive,Positive
which,hard,hard which,Positive,Negative
place,pretty,pretty place,Positive,Positive
coffee,fantastic,fantastic coffee,Positive,Positive
spot,new,new spot,Positive,Neutral
spot,fave,fave spot,Positive,Positive
coffee,good,good coffee,Negative,Positive
barista,rude,rude barista,Negative,Negative
owner,male,male owner,Negative,Neutral
owner,nice,nice owner,Negative,Positive
cardamom flavor,wonderful,wonderful cardamom flavor,Positive,Positive
cardamom flavor,fun,fun cardamom flavor,Positive,Positive
coffee shop,cozy,cozy coffee shop,Positive,Positive
sandwich,tasty,tasty sandwich,Positive,Positive
coffee,great,great coffee,Positive,Positive
bonus,added,added bonus,Positive,Neutral
distance,walking,walking distance,Positive,Neutral
atmosphere,great,great atmosphere,Positive,Positive
atmosphere,attentive,attentive atmosphere,Positive,Positive
owner,attentive,attentive owner,Positive,Positive
coffee,attentive,attentive coffee,Positive,Positive
coffee,amazing,amazing coffee,Positive,Positive
patio,beautiful,beautiful patio,Positive,Positive
coffee shop,great,great coffee shop,Positive,Positive
coffee shop,local,local coffee shop,Positive,Neutral
coffee,great,great coffee,Positive,Positive
coffee,okay,okay coffee,Positive,Positive
coffee place,favorite,favorite coffee place,Positive,Positive
cup,great,great cup,Positive,Positive
fika bun,amazing,amazing fika bun,Positive,Positive
matcha tea,amazing,amazing matcha tea,Positive,Positive
service,great,great service,Positive,Positive
latte,smooth,smooth latte,Positive,Positive
water,similar,similar water,Positive,Neutral
water,free,free water,Positive,Positive
shop,sweet,sweet shop,Positive,Positive
coffee,favorite,favorite coffee,Positive,Positive
taste,rich,rich taste,Positive,Positive
quality,high,high quality,Positive,Positive
everything,incredible,incredible everything,Positive,Positive
they,professional,professional they,Positive,Positive
employee,pleased,pleased employee,Positive,Positive
drink,cold,cold drink,Positive,Neutral
drink,superb,superb drink,Positive,Positive
drink,delicious,delicious drink,Positive,Positive
event,more,more event,Positive,Neutral
job,wonderful,wonderful job,Positive,Positive
treat,kind,kind treat,Positive,Positive
treat,delicious,delicious treat,Positive,Positive
treat,happy,happy treat,Positive,Positive
treat,able,able treat,Positive,Neutral
treat,able,able treat,Positive,Neutral
day,special,special day,Positive,Neutral
cappuccino,fantastic,fantastic cappuccino,Positive,Positive
roy,friendly,friendly roy,Positive,Positive
roy,fun,fun roy,Positive,Neutral
location,new,new location,Positive,Neutral
spot,favorite,favorite spot,Positive,Positive
spot,new,new spot,Positive,Neutral
customer service,friendly,friendly customer service,Positive,Positive
coffee shop,best,best coffee shop,Positive,Positive
margin,wide,wide margin,Positive,Neutral
coffee,great,great coffee,Positive,Positive
coffee,excellent,excellent coffee,Positive,Positive
spot,terrific,terrific spot,Positive,Neutral
spot,little,little spot,Positive,Neutral
service,great,great service,Positive,Positive
coffee,good,good coffee,Positive,Positive
pastry,amazing,amazing pastry,Positive,Positive
coffee,best,best coffee,Positive,Positive
coffee bar,mobile,mobile coffee bar,Positive,Neutral
building,beautiful,beautiful building,Positive,Positive
coffee,better,better coffee,Positive,Positive
experience,whole,whole experience,Positive,Neutral
place,incredible,incredible place,Positive,Positive
spring,dripping,dripping spring,Positive,Neutral
quality,delicious,delicious quality,Positive,Positive
spring,dripping,dripping spring,Positive,Neutral
coffee,great,great coffee,Positive,Positive
coffee,best,best coffee,Positive,Positive
pumpkin festival,dripping,dripping pumpkin festival,Positive,Neutral
it,amazing,amazing it,Positive,Positive
location,great,great location,Positive,Positive
coffee shop,great,great coffee shop,Positive,Positive
coffee shop,little,little coffee shop,Positive,Neutral
atmosphere,cool,cool atmosphere,Positive,Positive
menu,larger,larger menu,Positive,Neutral
coffee,best,best coffee,Positive,Positive
brew,cold,cold brew,Negative,Negative
brew,bitter,bitter brew,Negative,Negative
brew,acidic,acidic brew,Negative,Negative
they,bitcoin,bitcoin they,Positive,Positive
shop,nice,nice shop,Positive,Positive
shop,local,local shop,Positive,Neutral
shop,coffe,coffe shop,Positive,Neutral
afuga coffee,amazing,amazing afuga coffee,Positive,Positive
coffee,real,real coffee,Positive,Positive
kid,excited,excited kid,Positive,Positive
chocolate,white,white chocolate,Positive,Neutral
chocolate,hot,hot chocolate,Positive,Positive
owner,friendly,friendly owner,Positive,Positive
place,great,great place,Positive,Positive
location,perfect,perfect location,Positive,Positive
neighborhood cafe,cute,cute neighborhood cafe,Positive,Positive
neighborhood cafe,new,new neighborhood cafe,Positive,Neutral
coffee,amazing,amazing coffee,Positive,Positive
coffee bar,best,best coffee bar,Positive,Positive
coffee bar,mobile,mobile coffee bar,Positive,Neutral
flavor,amazing,amazing flavor,Positive,Positive
service,pleasant,pleasant service,Positive,Positive
company,nice,nice company,Positive,Positive
company,owned,owned company,Positive,Neutral
event,next,next event,Positive,Neutral
location,next,next location,Positive,Neutral
location,pop,pop location,Positive,Positive
place,pleasant,pleasant place,Positive,Positive
coffee cake,high,high coffee cake,Positive,Neutral
coffee,great,great coffee,Positive,Positive
service,excellent,excellent service,Positive,Positive
coffee,great,great coffee,Positive,Positive
coffee,best,best coffee,Positive,Positive
cream shop,local,local cream shop,Positive,Neutral
coffee bar,pop,pop coffee bar,Positive,Positive
company event,next,next company event,Positive,Neutral
concept,pop,pop concept,Positive,Neutral
gelato,handcrafted,handcrafted gelato,Positive,Neutral
signature drink,unique,unique signature drink,Positive,Positive
signature drink,tasty,tasty signature drink,Positive,Positive
take,great,great take,Positive,Positive
coffee,amazing,amazing coffee,Positive,Positive
staff,friendly,friendly staff,Positive,Positive
mood,best,best mood,Positive,Positive
atmosphere,great,great atmosphere,Positive,Positive
atmosphere,nice,nice atmosphere,Positive,Positive
coffee,needed,needed coffee,Positive,Positive
coffee,best,best coffee,Positive,Positive
coffee,good,good coffee,Positive,Positive
people,√î‚àè√®,√î‚àè√® people,Positive,Positive
people,great,great people,Positive,Positive
work,great,great work,Positive,Positive
people,lovely,lovely people,Positive,Positive
coffee,great,great coffee,Positive,Positive
coffee,amazing,amazing coffee,Positive,Positive
coffee lover,big,big coffee lover,Positive,Neutral
quality product,great,great quality product,Positive,Positive
people,great,great people,Positive,Positive
we,not enough,not enough we,Positive,Neutral
coffee,good,good coffee,Positive,Positive
coffee,best,best coffee,Positive,Positive
coffee,best,best coffee,Positive,Positive
quality coffee,real,real quality coffee,Positive,Positive
coffee,best,best coffee,Positive,Positive
coffee,best,best coffee,Positive,Positive
place,great,great place,Positive,Positive
place,new,new place,Positive,Neutral
place,wonderful,wonderful place,Positive,Positive
coffee,expensive,expensive coffee,Negative,Negative
tip,expensive,expensive tip,Negative,Negative
i,best,best i,Positive,Positive
experience,great,great experience,Positive,Positive
coffee,good,good coffee,Positive,Positive
flavor,bitter,bitter flavor,Positive,Neutral
flavor,burnt,burnt flavor,Positive,Negative
mistake,delicious,delicious mistake,Positive,Positive
vibe,relaxed,relaxed vibe,Positive,Positive
it,worth,worth it,Positive,Positive
minute drive,worth,worth minute drive,Positive,Positive
minute drive,good,good minute drive,Positive,Positive
coffee shop,other,other coffee shop,Positive,Neutral
treat,hidden,hidden treat,Positive,Neutral
coffee,great,great coffee,Positive,Positive
coffee,best,best coffee,Positive,Positive
notch,top,top notch,Positive,Positive
chocolate,hot,hot chocolate,Positive,Positive
which,delicious,delicious which,Positive,Positive
pastry,fabulous,fabulous pastry,Positive,Positive
service,friendly,friendly service,Positive,Positive
service,efficient,efficient service,Positive,Positive
americano,plain,plain americano,Positive,Negative
americano,black,black americano,Positive,Neutral
packet,stevia,stevia packet,Positive,Neutral
we,not much,not much we,Positive,Neutral
coffee,amazing,amazing coffee,Positive,Positive
it,hard,hard it,Positive,Negative
that,good,good that,Positive,Positive
coffee,great,great coffee,Positive,Positive
food,delicious,delicious food,Positive,Positive
food,good,good food,Positive,Positive
customer service,great,great customer service,Positive,Positive
variety,small,small variety,Positive,Negative
variety,plentiful,plentiful variety,Positive,Positive
sauce,hot,hot sauce,Positive,Neutral
food,affordable,affordable food,Positive,Positive
staple,friendly,friendly staple,Positive,Positive
taco,best,best taco,Positive,Positive
everything,delicious,delicious everything,Positive,Positive
people,good,good people,Positive,Positive
people,happy,happy people,Positive,Positive
time ordering,first,first time ordering,Positive,Neutral
food,good,good food,Positive,Positive
mac n cheese,amazing,amazing mac n cheese,Positive,Positive
price,good,good price,Positive,Positive
food,most,most food,Negative,Neutral
experience,most,most experience,Negative,Neutral
experience,mediocre,mediocre experience,Negative,Negative
some,undercooked,undercooked some,Negative,Negative
some,overcooked,overcooked some,Negative,Negative
portion size,not great,not great portion size,Negative,Negative
i,sick,sick i,Negative,Neutral
dish,best,best dish,Negative,Negative
dish,addictive,addictive dish,Negative,Positive
section,take,take section,Negative,Neutral
heckuva,addictive,addictive heckuva,Negative,Neutral
luck,good,good luck,Negative,Positive
staff,hesitant,hesitant staff,Negative,Negative
visit,last,last visit,Negative,Neutral
patron,occasional,occasional patron,Negative,Negative
thing,great,great thing,Negative,Positive
thing,only,only thing,Negative,Neutral
thing,good,good thing,Negative,Positive
thing,nice,nice thing,Negative,Positive
price,posted,posted price,Negative,Neutral
food,seasoned,seasoned food,Negative,Negative
food,good,good food,Neutral,Positive
tuna casserole,mean,mean tuna casserole,Neutral,Neutral
side,other,other side,Neutral,Neutral
meal,quick,quick meal,Neutral,Neutral
meal,hot,hot meal,Neutral,Neutral
staff,update,update staff,Neutral,Neutral
thing,minor,minor thing,Neutral,Neutral
i,pleased,pleased i,Positive,Positive
food,amazing,amazing food,Positive,Positive
food,tasty,tasty food,Positive,Positive
food,amazing,amazing food,Positive,Positive
food,clean,clean food,Positive,Positive
food,amazing,amazing food,Positive,Positive
food,professional,professional food,Positive,Positive
seating,small,small seating,Negative,Negative
restaurant,nice,nice restaurant,Positive,Positive
atmosphere,nice,nice atmosphere,Positive,Positive
waitress,wonderful,wonderful waitress,Positive,Positive
chops Ô£ø√º‚Ä¢¬©,smothered,smothered chops Ô£ø√º‚Ä¢¬©,Positive,Neutral
service personnel,professional,professional service personnel,Positive,Positive
food,delicious,delicious food,Positive,Positive
stop,first,first stop,Positive,Neutral
food,great,great food,Positive,Positive
family,whole,whole family,Positive,Neutral
mac,good,good mac,Neutral,Positive
food,great,great food,Positive,Positive
soul food,good,good soul food,Positive,Positive
bar service,terrible,terrible bar service,Negative,Negative
service,great,great service,Positive,Positive
service,excellent,excellent service,Positive,Positive
omg,crazy,crazy omg,Positive,Neutral
taco,awesome,awesome taco,Positive,Positive
salad fire,unbelievable,unbelievable salad fire,Positive,Neutral
sauce,special,special sauce,Positive,Neutral
requirement,high,high requirement,Positive,Negative
Ô£ø√º√´√© Ô£ø√º√®√¶,tough,tough Ô£ø√º√´√© Ô£ø√º√®√¶,Negative,Negative
everytime,delicious,delicious everytime,Positive,Positive
guerilla fry,more,more guerilla fry,Positive,Neutral
side,resturant,resturant side,Negative,Negative
they,unsanitary,unsanitary they,Negative,Negative
glove,unsanitary,unsanitary glove,Negative,Negative
food,best,best food,Positive,Positive
price,reasonable,reasonable price,Positive,Positive
place,favorite,favorite place,Positive,Positive
bass,black,black bass,Positive,Neutral
bass,good,good bass,Positive,Positive
paul,nice,nice paul,Positive,Positive
music,people,people music,Positive,Neutral
music,nice,nice music,Positive,Positive
music,good,good music,Positive,Positive
they,amazing,amazing they,Positive,Positive
they,friendly,friendly they,Positive,Positive
food,good,good food,Positive,Positive
food,excellent,excellent food,Positive,Positive
portion,nice,nice portion,Positive,Positive
experience,not good,not good experience,Negative,Negative
time,1st,1st time,Negative,Neutral
time,first,first time,Positive,Neutral
food,great,great food,Positive,Positive
food,good,good food,Positive,Positive
staff,nice,nice staff,Positive,Positive
soul food,delicious,delicious soul food,Positive,Positive
soul food,comforting,comforting soul food,Positive,Positive
soul food,ready,ready soul food,Positive,Positive
price,fair,fair price,Positive,Positive
portion,decent,decent portion,Positive,Positive
portion,nice,nice portion,Positive,Positive
seafood period,best,best seafood period,Positive,Positive
they,disturbing,disturbingl they,Negative,Negative
they,nasty,nasty they,Negative,Negative
tuh,disturbing,disturbingl tuh,Negative,Negative
tuh,nasty,nasty tuh,Negative,Negative
crowd,good,good crowd,Positive,Positive
crowd,great,great crowd,Positive,Positive
crowd,nice,nice crowd,Positive,Positive
service,courteous,courteous service,Positive,Positive
fish,fresh,fresh fish,Positive,Positive
service,great,great service,Positive,Positive
food,better,better food,Positive,Positive
food,best,best food,Positive,Positive
seafood salad,delicious,delicious seafood salad,Positive,Positive
music,good,good music,Positive,Positive
night,favorite,favorite night,Positive,Positive
soul food,good,good soul food,Positive,Positive
soul food,local,local soul food,Positive,Neutral
food,great,great food,Positive,Positive
people,nice,nice people,Positive,Positive
fish sandwich,good,good fish sandwich,Positive,Positive
godzilla fry,good,good godzilla fry,Positive,Positive
food,best,best food,Positive,Positive
fish sandwich,good,good fish sandwich,Negative,Positive
food,good,good food,Positive,Positive
food,best,best food,Positive,Positive
soul food,good,good soul food,Positive,Positive
food,fresh,fresh food,Positive,Positive
food,tasty,tasty food,Positive,Positive
drink,nice,nice drink,Positive,Positive
drink,mixed,mixed drink,Negative,Neutral
food,good,good food,Positive,Positive
food,hot,hot food,Positive,Positive
people,wonderful,wonderful people,Positive,Positive
pea,good,good pea,Positive,Positive
pea,black,black pea,Positive,Neutral
pea,eyed,eyed pea,Positive,Neutral
food,good,good food,Positive,Positive
homestyle meal,cooked,cooked homestyle meal,Positive,Neutral
amount,small,small amount,Positive,Neutral
food,delicious,delicious food,Positive,Positive
bartender,horrible,horrible bartender,Positive,Negative
turkey burger,best,best turkey burger,Positive,Positive
atmosphere,great,great atmosphere,Positive,Positive
place,great,great place,Positive,Positive
n cheese,best,best n cheese,Positive,Positive
food,amazing,amazing food,Positive,Positive
it,ok,ok it,Negative,Neutral
food,outstanding,outstanding food,Positive,Positive
food,Ô£ø√º√´√•,Ô£ø√º√´√• food,Positive,Positive
Ô£ø√º√≤√Ö,outstanding,outstanding Ô£ø√º√≤√Ö,Positive,Positive
Ô£ø√º√≤√Ö,Ô£ø√º√´√•,Ô£ø√º√´√• Ô£ø√º√≤√Ö,Positive,Neutral
sandwich,good,good sandwich,Positive,Positive
waitress,nice,nice waitress,Positive,Positive
food,fit,fit food,Positive,Positive
food,great,great food,Positive,Positive
chicken,good,good chicken,Neutral,Positive
service,good,good service,Positive,Positive
service,nice,nice service,Positive,Positive
food,great,great food,Positive,Positive
atmosphere,great,great atmosphere,Positive,Positive
taco,delicious,delicious taco,Positive,Positive
customer service,good,good customer service,Positive,Positive
food,great,great food,Positive,Positive
food,priced,priced food,Negative,Negative
it,okay,okay it,Negative,Neutral
dinner deal,great,great dinner deal,Positive,Positive
food,good,good food,Positive,Positive
food,homemade,homemade food,Positive,Positive
food,good,good food,Positive,Positive
food,good,good food,Positive,Positive
food,good,good food,Neutral,Positive
cook food,great,great cook food,Positive,Positive
place,great,great place,Positive,Positive
food,delicious,delicious food,Positive,Positive
place,cool,cool place,Positive,Positive
food,good,good food,Positive,Positive
food,good,good food,Positive,Positive
food,great,great food,Positive,Positive
i,awesome,awesome i,Positive,Positive
food,good,good food,Positive,Positive
food,delicious,delicious food,Positive,Positive
food,great,great food,Positive,Positive
food,great,great food,Positive,Positive
soul food,good,good soul food,Positive,Positive
food,great,great food,Positive,Positive
it,good,good it,Positive,Positive
food,fresh,fresh food,Positive,Positive
service,friendly,friendly service,Positive,Positive
we,happy,happy we,Positive,Positive
employee,friendly,friendly employee,Positive,Positive
experience,overall,overall experience,Positive,Neutral
experience,great,great experience,Positive,Positive
staff,generous,generous staff,Positive,Positive
staff,kind,kind staff,Positive,Positive
staff,helpful,helpful staff,Positive,Positive
manager,assistant,assistant manager,Positive,Neutral
batch,special,special batch,Positive,Neutral
food,incredible,incredible food,Positive,Positive
food,delicious,delicious food,Positive,Positive
they,busy,busy they,Positive,Negative
employee,kind,kind employee,Positive,Positive
brownie,small,small brownie,Positive,Neutral
that,fresh,fresh that,Positive,Positive
employee,rude,rude employee,Negative,Negative
employee,extra,extra employee,Negative,Neutral
scoop,tiny,tiny scoop,Negative,Negative
meat section,disgusting,disgusting meat section,Negative,Negative
i,disgusted,disgusted i,Negative,Neutral
experience,worst,worst experience,Negative,Negative
food,healthy,healthy food,Positive,Positive
food,fresh,fresh food,Positive,Positive
food,ripe,ripe food,Positive,Positive
place,perfect,perfect place,Positive,Positive
service,good,good service,Positive,Positive
service,quick,quick service,Positive,Positive
alternative,dressing,dressing alternative,Positive,Neutral
cheese,different,different cheese,Positive,Neutral
spot,favorite,favorite spot,Positive,Positive
food,healthy,healthy food,Positive,Positive
food,fresh,fresh food,Positive,Positive
movie event,outdoor,outdoor movie event,Positive,Neutral
pinot grigio,single,single pinot grigio,Positive,Neutral
meal,favorite,favorite meal,Positive,Positive
year,several,several year,Positive,Neutral
date,first,first date,Positive,Neutral
week,last,last week,Positive,Neutral
pita,small,small pita,Positive,Neutral
drink,small,small drink,Positive,Neutral
time,few,few time,Negative,Neutral
it,terrible,terrible it,Negative,Negative
metal top,silver,silver metal top,Negative,Neutral
i,disgusted,disgusted i,Negative,Neutral
